city,crime,value
1,São Roque do Pico,Crimes contra animais de companhia,6
3,Arcos de Valdevez,Crimes previstos em legislação avulsa,56
4,Castanheira de Pêra,Crimes contra a integridade física,7
5,Aguiar da Beira,Crimes contra a integridade física,22
6,Vila Nova de Paiva,Crimes contra a integridade física,23
7,Abrantes,Crimes contra a integridade física,155
8,Ferreira do Zêzere,Crimes contra a integridade física,27
9,Sertã,Crimes contra a integridade física,104
10,Celorico da Beira,Crimes contra a integridade física,55
11,Gouveia,Crimes contra a integridade física,62
13,Loures,Crimes contra a integridade física,1099
14,Setúbal,Crimes contra a integridade física,746
15,Vila Franca de Xira,Crimes contra a integridade física,722
16,Ferreira do Alentejo,Crimes contra a integridade física,98
17,Ourique,Crimes contra a integridade física,25
18,Salvaterra de Magos,Crimes contra a integridade física,148
19,Alto Alentejo,Crimes contra a integridade física,721
20,Castro Daire,Furto de veículo e em veículo motorizado,8
21,São Pedro do Sul,Furto de veículo e em veículo motorizado,12
22,Torres Novas,Furto de veículo e em veículo motorizado,83
23,Vila de Rei,Furto de veículo e em veículo motorizado,3
24,Guarda,Furto de veículo e em veículo motorizado,58
25,Pinhel,Furto de veículo e em veículo motorizado,3
26,Trancoso,Furto de veículo e em veículo motorizado,3
27,Barreiro,Furto de veículo e em veículo motorizado,277
28,Odivelas,Furto de veículo e em veículo motorizado,297
29,Barrancos,Furto de veículo e em veículo motorizado,3
30,Castro Verde,Furto de veículo e em veículo motorizado,0
31,Cartaxo,Furto de veículo e em veículo motorizado,41
32,Barcelos,Crimes previstos em legislação avulsa,133
33,Mondim de Basto,Crimes previstos em legislação avulsa,5
34,Santa Maria da Feira,Crimes previstos em legislação avulsa,204
35,Amarante,Crimes previstos em legislação avulsa,99
36,Freixo de Espada à Cinta,Crimes previstos em legislação avulsa,0
37,Torres Vedras,Crimes previstos em legislação avulsa,289
38,Anadia,Crimes previstos em legislação avulsa,43
39,Murtosa,Crimes previstos em legislação avulsa,0
40,Miranda do Corvo,Crimes previstos em legislação avulsa,9
41,Resende,Violência doméstica contra cônjuge ou análogos,25
42,Armamar,Violência doméstica contra cônjuge ou análogos,9
43,Lamego,Violência doméstica contra cônjuge ou análogos,42
44,Sernancelhe,Violência doméstica contra cônjuge ou análogos,11
45,Macedo de Cavaleiros,Violência doméstica contra cônjuge ou análogos,30
46,Alcobaça,Violência doméstica contra cônjuge ou análogos,104
47,Nazaré,Violência doméstica contra cônjuge ou análogos,34
48,Sobral de Monte Agraço,Violência doméstica contra cônjuge ou análogos,28
49,Aveiro,Violência doméstica contra cônjuge ou análogos,175
50,Ílhavo,Violência doméstica contra cônjuge ou análogos,92
52,Condeixa-a-Nova,Violência doméstica contra cônjuge ou análogos,20
53,Penela,Violência doméstica contra cônjuge ou análogos,8
54,Figueiró dos Vinhos,Violência doméstica contra cônjuge ou análogos,14
55,Leiria,Violência doméstica contra cônjuge ou análogos,264
56,Carregal do Sal,Violência doméstica contra cônjuge ou análogos,39
57,Mangualde,Violência doméstica contra cônjuge ou análogos,63
58,Oliveira de Frades,Violência doméstica contra cônjuge ou análogos,27
59,Mourão,Condução sem habilitação legal,9
60,Reguengos de Monsaraz,Condução sem habilitação legal,25
61,Algarve,Condução sem habilitação legal,782
