,city,crime,value,latitude,longitude
0,Oliveira do Bairro,Roubo por esticão e na via pública,3,40.51544571,-8.49402428
1,Sever do Vouga,Roubo por esticão e na via pública,4,40.73306274,-8.36916351
2,Vagos,Roubo por esticão e na via pública,3,40.55526352,-8.68145752
3,Figueira da Foz,Roubo por esticão e na via pública,19,40.15078354,-8.85121346
4,Mealhada,Roubo por esticão e na via pública,0,40.37810516,-8.45144558
5,Mortágua,Roubo por esticão e na via pública,0,40.39504242,-8.23202133
6,Tábua,Roubo por esticão e na via pública,0,40.35964203,-8.02936935
7,Viseu,Roubo por esticão e na via pública,18,40.65754318,-7.91427946
8,Sintra,Crimes contra o Estado,140,38.79844284,-9.38821888
9,Alvito,Crimes contra o Estado,0,41.68787384,13.7423687
10,Barrancos,Crimes contra o Estado,0,38.13153839,-6.97811031
11,Beja,Crimes contra o Estado,14,38.01504517,-7.86243963
12,Cartaxo,Crimes contra o Estado,12,39.16181564,-8.78637505
13,Marvão,Crimes contra o Estado,4,39.39356995,-7.37364578
14,Lagos,Crimes contra o Estado,20,6.45505762,3.39417958
15,Portimão,Crimes contra o Estado,33,37.13763428,-8.53439903
16,Lagoa,Crimes contra o Estado,0,37.13472748,-8.45262527
17,Lajes das Flores,Crimes contra o Estado,0,39.40552902,-31.21777916
18,Madalena,Crimes contra o Estado,0,38.48835373,-28.47450256
19,Viseu Dão Lafões,Crimes de homicídio voluntário consumado,0,40.65528107,-7.91416979
20,Sátão,Crimes de homicídio voluntário consumado,0,40.74041748,-7.73609543
21,Vila Nova de Paiva,Crimes de homicídio voluntário consumado,0,40.84923935,-7.730093
22,Oleiros,Crimes de homicídio voluntário consumado,0,39.91891479,-7.914042
23,Proença-a-Nova,Crimes de homicídio voluntário consumado,0,39.74979401,-7.92522621
24,Constância,Crimes de homicídio voluntário consumado,0,39.47660828,-8.33863926
25,Torres Novas,Crimes de homicídio voluntário consumado,0,39.47777939,-8.5408926
26,Vila de Rei,Crimes de homicídio voluntário consumado,0,39.6753006,-8.14678764
27,Pinhel,Crimes de homicídio voluntário consumado,0,40.77603912,-7.06289673
28,Odivelas,Crimes de homicídio voluntário consumado,0,38.79262161,-9.18276501
29,Setúbal,Crimes de homicídio voluntário consumado,5,38.52458572,-8.89315319
30,Alcácer do Sal,Crimes de homicídio voluntário consumado,0,38.37112427,-8.51945114
31,Grândola,Crimes de homicídio voluntário consumado,0,38.17603683,-8.56818676
32,Baixo Alentejo,Crimes de homicídio voluntário consumado,0,38.01699829,-7.8670001
33,Alvito,Crimes de homicídio voluntário consumado,0,41.68787384,13.7423687
34,Ferreira do Alentejo,Crimes de homicídio voluntário consumado,0,38.05828857,-8.11643314
35,Ourique,Crimes de homicídio voluntário consumado,0,37.65102005,-8.22396183
36,Serpa,Crimes de homicídio voluntário consumado,0,37.94080353,-7.59302473
37,Alcanena,Roubo por esticão e na via pública,0,39.45978165,-8.66714859
38,Constância,Roubo por esticão e na via pública,0,39.47660828,-8.33863926
39,Mação,Roubo por esticão e na via pública,0,22.13883591,113.57136536
40,Torres Novas,Roubo por esticão e na via pública,9,39.47777939,-8.5408926
41,Beiras e Serra da Estrela,Roubo por esticão e na via pública,27,40.14260101,-7.83807898
42,Fornos de Algodres,Roubo por esticão e na via pública,0,40.62249756,-7.53865337
43,Mêda,Roubo por esticão e na via pública,0,45.65996552,9.15445805
44,Almada,Roubo por esticão e na via pública,237,38.68028641,-9.15848827
45,Golegã,Roubo por esticão e na via pública,0,39.4026947,-8.48907566
46,Salvaterra de Magos,Roubo por esticão e na via pública,10,39.02520752,-8.79338455
47,Borba,Roubo por esticão e na via pública,0,-4.39347792,-59.59477234
48,Machico,Crimes contra o Estado,9,32.71583557,-16.76662827
49,Arcos de Valdevez,Crimes contra animais de companhia,14,41.84728241,-8.41852379
50,Melgaço,Crimes contra animais de companhia,0,42.11614609,-8.26261616
51,Monção,Crimes contra animais de companhia,4,42.0788269,-8.48013496
52,Cávado,Crimes contra animais de companhia,68,41.54417038,-8.42193985
53,Barcelos,Crimes contra animais de companhia,26,41.53153992,-8.61895847
54,Póvoa de Lanhoso,Crimes contra animais de companhia,7,41.57730865,-8.27676392
55,Matosinhos,Crimes contra animais de companhia,35,41.18299866,-8.67976856
56,Santa Maria da Feira,Crimes contra animais de companhia,13,40.9257164,-8.54124737
57,Valongo,Crimes contra animais de companhia,8,41.1872673,-8.50218582
58,Marco de Canaveses,Crimes contra animais de companhia,5,41.18144989,-8.1493454
59,Alijó,Crimes contra animais de companhia,0,41.27677917,-7.47465801
60,Freixo de Espada à Cinta,Crimes contra animais de companhia,0,41.09131241,-6.80793619
61,Peso da Régua,Crimes contra animais de companhia,0,41.16551971,-7.78618431
62,Miranda do Douro,Crimes contra animais de companhia,0,41.49585342,-6.27385759
63,Arruda dos Vinhos,Crimes contra animais de companhia,0,38.98312378,-9.077775
64,Bombarral,Crimes contra animais de companhia,6,39.26689911,-9.15787125
65,Nazaré,Crimes contra animais de companhia,0,39.59679794,-9.07205486
66,Cartaxo,Crimes de homicídio voluntário consumado,0,39.16181564,-8.78637505
67,Salvaterra de Magos,Crimes de homicídio voluntário consumado,0,39.02520752,-8.79338455
68,Alto Alentejo,Crimes de homicídio voluntário consumado,0,39.29000092,-7.42999983
69,Avis,Crimes de homicídio voluntário consumado,0,41.18490982,-77.31479645
70,Castelo de Vide,Crimes de homicídio voluntário consumado,0,39.41464996,-7.45658541
71,Marvão,Crimes de homicídio voluntário consumado,0,39.39356995,-7.37364578
72,Alandroal,Crimes de homicídio voluntário consumado,0,38.70227432,-7.40383816
73,Borba,Crimes de homicídio voluntário consumado,0,-4.39347792,-59.59477234
74,Portel,Crimes de homicídio voluntário consumado,0,38.30856705,-7.70511532
75,Viana do Alentejo,Crimes de homicídio voluntário consumado,0,38.33202362,-8.00203514
76,Aljezur,Crimes de homicídio voluntário consumado,0,37.31469727,-8.80453587
77,Vila do Porto,Crimes de homicídio voluntário consumado,0,36.97193909,-25.09832954
78,Calheta,Crimes de homicídio voluntário consumado,0,32.72077179,-17.17760849
79,Câmara de Lobos,Crimes de homicídio voluntário consumado,0,32.64857101,-16.97599411
80,Melgaço,Crimes contra a integridade física,44,42.11614609,-8.26261616
81,Monção,Crimes contra a integridade física,49,42.0788269,-8.48013496
82,Mora,Roubo por esticão e na via pública,0,45.8757782,-93.29205322
83,Portel,Roubo por esticão e na via pública,0,38.30856705,-7.70511532
84,Redondo,Roubo por esticão e na via pública,0,33.84498215,-118.38724518
85,Reguengos de Monsaraz,Roubo por esticão e na via pública,0,38.4234581,-7.53357363
86,Olhão,Roubo por esticão e na via pública,56,37.02654266,-7.84044933
87,Vila do Bispo,Roubo por esticão e na via pública,0,37.08306885,-8.90878487
88,Vila Real de Santo António,Roubo por esticão e na via pública,9,37.19509506,-7.41457987
89,Calheta,Roubo por esticão e na via pública,0,32.72077179,-17.17760849
90,Cávado,Furto de veículo e em veículo motorizado,1144,41.54417038,-8.42193985
91,Braga,Furto de veículo e em veículo motorizado,676,41.55176163,-8.42290306
92,Terras de Bouro,Furto de veículo e em veículo motorizado,10,41.71920395,-8.31012344
93,Vila Verde,Furto de veículo e em veículo motorizado,91,41.65150452,-8.43593693
94,Maia,Furto de veículo e em veículo motorizado,793,41.23286438,-8.62156487
95,Oliveira de Azeméis,Furto de veículo e em veículo motorizado,69,40.83998489,-8.47630596
96,Trofa,Furto de veículo e em veículo motorizado,94,41.34218979,-8.55755615
97,Estarreja,Crimes contra animais de companhia,6,40.75460815,-8.56909752
98,Pampilhosa da Serra,Crimes contra animais de companhia,0,40.04605865,-7.95147228
99,Alvaiázere,Crimes contra animais de companhia,0,39.82522964,-8.38073826
100,Figueiró dos Vinhos,Crimes contra animais de companhia,0,39.90192032,-8.27495766
101,Oliveira de Frades,Crimes contra animais de companhia,0,40.73141479,-8.17673016
102,Mação,Crimes contra animais de companhia,0,22.13883591,113.57136536
103,Figueira de Castelo Rodrigo,Crimes contra animais de companhia,0,40.89635086,-6.96307087
104,Pinhel,Crimes contra animais de companhia,4,40.77603912,-7.06289673
105,Cascais,Crimes contra animais de companhia,26,38.69727707,-9.42175674
106,Loures,Crimes contra animais de companhia,42,38.83023834,-9.16708851
107,Mafra,Crimes contra animais de companhia,13,38.96432114,-9.32824993
108,Vila Franca de Xira,Crimes contra animais de companhia,30,38.95428085,-8.98968601
109,Grândola,Crimes contra animais de companhia,4,38.17603683,-8.56818676
110,Arouca,Crimes contra a integridade física,99,40.92892456,-8.24363995
111,Porto,Crimes contra a integridade física,1641,41.15015411,-8.61031818
112,Trofa,Crimes contra a integridade física,144,41.34218979,-8.55755615
113,Felgueiras,Crimes contra a integridade física,213,41.36618805,-8.19936275
114,Penafiel,Crimes contra a integridade física,288,41.20699692,-8.28565121
115,Douro,Crimes contra a integridade física,933,42.01055908,-2.88028002
116,Alijó,Crimes contra a integridade física,51,41.27677917,-7.47465801
117,Mesão Frio,Crimes contra a integridade física,33,41.16083908,-7.8876462
118,Moimenta da Beira,Crimes contra a integridade física,72,40.9850502,-7.61773777
119,Montemor-o-Velho,Violência doméstica contra cônjuge ou análogos,41,40.17253876,-8.68464661
120,Alvaiázere,Violência doméstica contra cônjuge ou análogos,11,39.82522964,-8.38073826
