city,crime,value
0,Oliveira do Bairro,Roubo por esticão e na via pública,3
1,Sever do Vouga,Roubo por esticão e na via pública,4
2,Vagos,Roubo por esticão e na via pública,3
3,Figueira da Foz,Roubo por esticão e na via pública,19
4,Mealhada,Roubo por esticão e na via pública,0
5,Mortágua,Roubo por esticão e na via pública,0
6,Tábua,Roubo por esticão e na via pública,0
7,Viseu,Roubo por esticão e na via pública,18
8,Sintra,Crimes contra o Estado,140
9,Alvito,Crimes contra o Estado,0
10,Barrancos,Crimes contra o Estado,0
11,Beja,Crimes contra o Estado,14
12,Cartaxo,Crimes contra o Estado,12
13,Marvão,Crimes contra o Estado,4
14,Lagos,Crimes contra o Estado,20
15,Portimão,Crimes contra o Estado,33
17,Lagoa,Crimes contra o Estado,0
18,Lajes das Flores,Crimes contra o Estado,0
19,Madalena,Crimes contra o Estado,0
20,Viseu Dão Lafões,Crimes de homicídio voluntário consumado,0
21,Sátão,Crimes de homicídio voluntário consumado,0
22,Vila Nova de Paiva,Crimes de homicídio voluntário consumado,0
23,Oleiros,Crimes de homicídio voluntário consumado,0
24,Proença-a-Nova,Crimes de homicídio voluntário consumado,0
25,Constância,Crimes de homicídio voluntário consumado,0
26,Torres Novas,Crimes de homicídio voluntário consumado,0
27,Vila de Rei,Crimes de homicídio voluntário consumado,0
28,Pinhel,Crimes de homicídio voluntário consumado,0
29,Odivelas,Crimes de homicídio voluntário consumado,0
30,Setúbal,Crimes de homicídio voluntário consumado,5
31,Alcácer do Sal,Crimes de homicídio voluntário consumado,0
32,Grândola,Crimes de homicídio voluntário consumado,0
33,Baixo Alentejo,Crimes de homicídio voluntário consumado,0
34,Alvito,Crimes de homicídio voluntário consumado,0
35,Ferreira do Alentejo,Crimes de homicídio voluntário consumado,0
36,Ourique,Crimes de homicídio voluntário consumado,0
37,Serpa,Crimes de homicídio voluntário consumado,0
38,Alcanena,Roubo por esticão e na via pública,0
39,Constância,Roubo por esticão e na via pública,0
40,Mação,Roubo por esticão e na via pública,0
41,Torres Novas,Roubo por esticão e na via pública,9
42,Beiras e Serra da Estrela,Roubo por esticão e na via pública,27
43,Fornos de Algodres,Roubo por esticão e na via pública,0
44,Mêda,Roubo por esticão e na via pública,0
45,Almada,Roubo por esticão e na via pública,237
46,Golegã,Roubo por esticão e na via pública,0
47,Salvaterra de Magos,Roubo por esticão e na via pública,10
48,Borba,Roubo por esticão e na via pública,0
49,Machico,Crimes contra o Estado,9
50,Arcos de Valdevez,Crimes contra animais de companhia,14
51,Melgaço,Crimes contra animais de companhia,0
52,Monção,Crimes contra animais de companhia,4
53,Cávado,Crimes contra animais de companhia,68
54,Barcelos,Crimes contra animais de companhia,26
55,Póvoa de Lanhoso,Crimes contra animais de companhia,7
56,Matosinhos,Crimes contra animais de companhia,35
57,Santa Maria da Feira,Crimes contra animais de companhia,13
58,Valongo,Crimes contra animais de companhia,8
59,Marco de Canaveses,Crimes contra animais de companhia,5
60,Alijó,Crimes contra animais de companhia,0
61,Freixo de Espada à Cinta,Crimes contra animais de companhia,0
62,Peso da Régua,Crimes contra animais de companhia,0
63,Miranda do Douro,Crimes contra animais de companhia,0
64,Arruda dos Vinhos,Crimes contra animais de companhia,0
65,Bombarral,Crimes contra animais de companhia,6
66,Nazaré,Crimes contra animais de companhia,0
67,Cartaxo,Crimes de homicídio voluntário consumado,0
68,Salvaterra de Magos,Crimes de homicídio voluntário consumado,0
69,Alto Alentejo,Crimes de homicídio voluntário consumado,0
70,Avis,Crimes de homicídio voluntário consumado,0
71,Castelo de Vide,Crimes de homicídio voluntário consumado,0
72,Marvão,Crimes de homicídio voluntário consumado,0
73,Alandroal,Crimes de homicídio voluntário consumado,0
74,Borba,Crimes de homicídio voluntário consumado,0
75,Portel,Crimes de homicídio voluntário consumado,0
76,Viana do Alentejo,Crimes de homicídio voluntário consumado,0
77,Aljezur,Crimes de homicídio voluntário consumado,0
79,Vila do Porto,Crimes de homicídio voluntário consumado,0
80,Calheta,Crimes de homicídio voluntário consumado,0
81,Câmara de Lobos,Crimes de homicídio voluntário consumado,0
83,Melgaço,Crimes contra a integridade física,44
84,Monção,Crimes contra a integridade física,49
85,Mora,Roubo por esticão e na via pública,0
86,Portel,Roubo por esticão e na via pública,0
87,Redondo,Roubo por esticão e na via pública,0
88,Reguengos de Monsaraz,Roubo por esticão e na via pública,0
89,Olhão,Roubo por esticão e na via pública,56
90,Vila do Bispo,Roubo por esticão e na via pública,0
91,Vila Real de Santo António,Roubo por esticão e na via pública,9
92,Calheta,Roubo por esticão e na via pública,0
95,Cávado,Furto de veículo e em veículo motorizado,1144
96,Braga,Furto de veículo e em veículo motorizado,676
97,Terras de Bouro,Furto de veículo e em veículo motorizado,10
98,Vila Verde,Furto de veículo e em veículo motorizado,91
99,Maia,Furto de veículo e em veículo motorizado,793
100,Oliveira de Azeméis,Furto de veículo e em veículo motorizado,69
101,Trofa,Furto de veículo e em veículo motorizado,94
